timestamp,emotion,confidence
2025-12-29 15:32:45,confused,91.13
2025-12-29 15:32:45,confused,91.05
2025-12-29 15:32:46,confused,90.32
2025-12-29 15:32:46,confused,87.24
2025-12-29 15:32:46,confused,87.10
2025-12-29 15:32:46,confused,85.23
2025-12-29 15:32:46,confused,85.32
2025-12-29 15:32:46,confused,86.03
2025-12-29 15:32:46,confused,86.19
2025-12-29 15:32:46,confused,88.99
2025-12-29 15:32:47,confused,88.45
2025-12-29 15:32:47,confused,86.03
2025-12-29 15:32:47,confused,86.88
2025-12-29 15:32:47,confused,88.49
2025-12-29 15:32:47,confused,86.36
2025-12-29 15:32:47,confused,87.24
2025-12-29 15:32:48,confused,85.44
2025-12-29 15:32:48,confused,84.59
2025-12-29 15:32:48,confused,84.08
2025-12-29 15:32:48,confused,78.83
2025-12-29 15:32:48,confused,75.27
2025-12-29 15:32:48,confused,74.53
2025-12-29 15:32:49,confused,73.64
2025-12-29 15:32:49,confused,74.61
2025-12-29 15:32:49,confused,75.25
2025-12-31 10:30:42,sad,62.54
2025-12-31 10:30:46,angry,64.93
2025-12-31 10:30:57,sad,60.91
2025-12-31 10:30:59,sad,61.37
2025-12-31 10:31:03,surprise,69.39
2025-12-31 10:31:04,angry,60.41
2025-12-31 10:31:19,angry,79.60
2025-12-31 10:31:20,sad,61.82
2025-12-31 10:31:22,sad,60.76
2025-12-31 10:31:26,surprise,60.83
2025-12-31 10:31:37,sad,63.44
2025-12-31 10:31:47,sad,61.78
2025-12-31 10:33:54,sad,85.79
2025-12-31 10:33:55,sad,70.13
2025-12-31 10:33:55,sad,63.81
2025-12-31 10:33:57,sad,65.03
2025-12-31 10:34:02,angry,64.56
2025-12-31 10:34:21,sad,66.54
2025-12-31 10:34:22,sad,70.65
2025-12-31 10:34:22,sad,72.03
2025-12-31 10:34:24,sad,60.39
2025-12-31 10:34:25,sad,71.92
2025-12-31 10:34:26,sad,61.84
2025-12-31 10:34:26,sad,79.83
2025-12-31 10:34:27,sad,77.36
2025-12-31 10:34:27,sad,67.46
2025-12-31 10:34:27,sad,62.41
2025-12-31 10:34:27,sad,65.58
2025-12-31 10:34:28,sad,62.81
2025-12-31 10:34:28,sad,62.24
2025-12-31 10:34:29,sad,61.43
2025-12-31 10:34:30,sad,60.63
2025-12-31 10:34:31,sad,63.14
2025-12-31 10:34:32,sad,66.75
2025-12-31 10:34:33,sad,71.66
2025-12-31 10:34:34,sad,64.50
2025-12-31 10:34:35,sad,61.29
2025-12-31 10:34:43,sad,66.23
2025-12-31 10:34:45,sad,61.65
2025-12-31 10:34:45,sad,64.35
2025-12-31 10:34:47,sad,60.78
2025-12-31 10:34:48,sad,70.17
2025-12-31 10:34:48,sad,66.04
2025-12-31 10:34:49,sad,67.25
2025-12-31 10:34:49,sad,69.49
2025-12-31 10:34:49,sad,77.28
2025-12-31 10:34:49,sad,61.12
2025-12-31 10:34:53,surprise,61.62
2025-12-31 10:34:55,sad,72.16
2025-12-31 10:34:56,sad,82.06
2025-12-31 10:34:56,sad,67.64
2025-12-31 10:34:59,sad,60.81
2025-12-31 10:35:00,sad,64.91
2025-12-31 10:35:02,sad,65.31
2025-12-31 10:35:03,sad,66.59
2025-12-31 10:35:03,sad,75.71
2025-12-31 10:35:03,sad,67.21
2025-12-31 10:35:03,sad,65.16
2025-12-31 10:35:04,sad,63.72
2025-12-31 10:35:04,sad,62.61
2025-12-31 10:35:04,sad,61.86
2025-12-31 10:35:04,sad,73.66
2025-12-31 10:35:04,sad,60.06
2025-12-31 10:35:05,sad,67.53
2025-12-31 10:35:05,sad,64.67
2025-12-31 10:35:05,sad,64.20
2025-12-31 10:35:09,sad,75.39
2025-12-31 10:35:12,sad,63.79
2025-12-31 10:35:12,sad,64.29
2025-12-31 10:35:18,surprise,83.59
2025-12-31 10:35:18,surprise,76.39
2025-12-31 10:35:19,neutral,64.51
2025-12-31 10:35:26,sad,60.83
2025-12-31 10:35:27,sad,60.55
2025-12-31 10:35:31,neutral,60.44
2025-12-31 10:35:39,sad,68.42
2025-12-31 10:35:40,sad,72.50
2025-12-31 10:35:41,sad,64.62
2025-12-31 10:35:41,sad,61.56
2025-12-31 10:35:41,sad,87.02
2025-12-31 10:35:41,sad,69.97
2025-12-31 10:35:41,sad,72.17
2025-12-31 10:35:42,sad,67.23
2025-12-31 10:35:42,sad,63.69
2025-12-31 10:35:44,sad,60.84
2025-12-31 10:35:44,sad,69.40
2025-12-31 10:35:44,sad,69.17
2025-12-31 10:35:45,sad,67.14
2025-12-31 10:35:45,sad,65.90
2025-12-31 10:35:45,sad,65.16
2025-12-31 10:35:45,sad,64.18
2025-12-31 10:35:46,sad,88.51
2025-12-31 10:35:46,sad,73.05
2025-12-31 10:35:46,sad,74.14
2025-12-31 10:35:47,sad,78.49
2025-12-31 10:35:47,sad,68.31
2025-12-31 10:35:47,sad,70.42
2025-12-31 10:35:47,sad,70.00
2025-12-31 10:35:48,sad,62.59
2025-12-31 10:35:59,surprise,65.16
2025-12-31 10:36:02,sad,87.68
2025-12-31 10:36:04,sad,69.05
2025-12-31 10:36:05,sad,75.84
2025-12-31 10:36:05,surprise,69.08
2025-12-31 10:36:08,sad,60.30
2025-12-31 10:36:30,sad,61.97
2025-12-31 10:36:31,sad,69.12
2025-12-31 10:36:31,sad,68.16
2025-12-31 10:36:31,sad,70.25
2025-12-31 10:36:32,sad,64.73
2025-12-31 10:36:32,sad,66.40
2025-12-31 10:36:33,sad,69.55
2025-12-31 10:36:37,sad,61.12
2025-12-31 10:36:38,sad,60.81
2025-12-31 10:36:38,sad,88.07
2025-12-31 10:47:31,angry,62.74
2025-12-31 10:47:34,sad,65.36
2025-12-31 10:47:47,sad,62.79
2025-12-31 10:47:51,sad,61.49
2025-12-31 10:47:56,sad,62.95
2025-12-31 10:47:57,sad,60.25
2025-12-31 10:47:58,sad,60.60
2025-12-31 10:48:02,sad,73.06
2025-12-31 10:48:04,sad,62.69
2025-12-31 10:48:04,sad,69.38
2025-12-31 10:48:05,sad,60.43
2025-12-31 10:48:05,sad,78.00
2025-12-31 10:48:05,sad,85.37
2025-12-31 10:48:06,sad,71.47
2025-12-31 10:48:06,sad,66.31
2025-12-31 10:48:06,sad,61.92
2025-12-31 10:48:06,sad,66.11
2025-12-31 10:48:06,sad,68.62
2025-12-31 10:48:06,sad,66.57
2025-12-31 10:48:07,sad,77.70
2025-12-31 10:48:07,sad,77.70
2025-12-31 10:48:09,surprise,76.91
2025-12-31 10:48:10,surprise,76.73
2025-12-31 10:48:10,surprise,76.73
2025-12-31 10:48:10,surprise,75.36
2025-12-31 10:48:10,surprise,74.31
2025-12-31 10:48:10,surprise,71.70
2025-12-31 10:48:10,surprise,70.89
2025-12-31 10:48:13,sad,60.11
2025-12-31 10:48:17,sad,67.62
2025-12-31 10:48:20,sad,70.06
2025-12-31 10:48:24,sad,60.61
2025-12-31 10:48:31,sad,62.84
2025-12-31 10:48:33,sad,61.12
2025-12-31 10:48:35,sad,67.72
2025-12-31 10:48:37,sad,62.04
2025-12-31 10:48:50,surprise,82.35
2025-12-31 10:49:00,sad,81.84
2025-12-31 10:49:03,sad,78.30
2025-12-31 10:49:03,sad,65.13
2025-12-31 10:49:04,sad,69.26
2025-12-31 10:49:04,sad,74.77
2025-12-31 10:49:04,sad,68.28
2025-12-31 10:49:04,sad,61.25
2025-12-31 10:49:04,sad,65.46
2025-12-31 10:49:06,sad,84.95
